,JID,RAdeg,DEdeg,z,TType,Bar,Ring,FRing,RC3
241,J095837.12-005546.22,149.655,-0.929,0.062,-5.0,0.0,0.0,0.0,999999
242,J101346.82-005451.25,153.446,-0.914,0.043,5.0,0.0,0.0,0.0,999999
243,J101425.70-005218.72,153.608,-0.871,0.049,-5.0,0.0,0.0,0.0,999999
244,J101832.52-005932.38,154.636,-0.992,0.05,0.0,80.0,0.0,0.0,999999
245,J101949.35-010121.53,154.956,-1.022,0.044,5.0,4.0,0.0,0.0,999999
246,J102443.20-005249.11,156.181,-0.88,0.037,5.0,0.0,0.0,0.0,999999
247,J102450.32-005342.96,156.21,-0.895,0.035,5.0,0.0,0.0,0.0,999999
248,J104034.63-005433.90,160.145,-0.909,0.04,-5.0,0.0,0.0,0.0,999999
249,J104051.26-005519.30,160.214,-0.922,0.04,5.0,0.0,0.0,0.0,999999
250,J104334.74-005603.26,160.895,-0.934,0.039,-5.0,0.0,0.0,0.0,999999
251,J110257.73-005743.62,165.741,-0.962,0.034,5.0,0.0,0.0,0.0,999999
252,J110647.46-005526.94,166.698,-0.924,0.039,-5.0,0.0,0.0,0.0,999999
253,J110920.13-005113.02,167.334,-0.853,0.047,3.0,8.0,0.0,0.0,RSBS1..
254,J111210.63-005845.17,168.045,-0.979,0.014,2.0,0.0,0.0,0.0,999999
255,J111637.97-010139.31,169.159,-1.027,0.028,0.0,0.0,0.0,0.0,999999
256,J112232.12-005028.19,170.634,-0.841,0.025,-2.0,0.0,0.0,0.0,.LA.0..
257,J112437.05-005930.73,171.155,-0.991,0.026,-5.0,0.0,0.0,0.0,999999
258,J113209.23-005633.35,173.039,-0.942,0.027,-2.0,0.0,0.0,0.0,.LX.0*.
259,J113727.46-005047.65,174.365,-0.846,0.047,-5.0,0.0,0.0,0.0,999999
260,J114006.22-005405.11,175.026,-0.901,0.029,4.0,0.0,0.0,0.0,.SAS3..
261,J120935.22-005444.89,182.397,-0.912,0.06,-5.0,0.0,0.0,0.0,999999
262,J121636.50-005721.41,184.153,-0.955,0.041,0.0,0.0,0.0,0.0,.LXR0*.
263,J121948.27-005231.61,184.952,-0.875,0.04,5.0,4.0,0.0,0.0,.SBT4..
265,J122131.69-005109.76,185.383,-0.852,0.041,-3.0,0.0,0.0,0.0,.L.....
266,J125536.89-005301.54,193.904,-0.883,0.023,6.0,0.0,0.0,0.0,999999
267,J125854.64-005821.83,194.728,-0.972,0.048,-3.0,0.0,0.0,0.0,999999
268,J130738.69-005632.86,196.912,-0.942,0.019,6.0,0.0,0.0,0.0,.SXT6P?
269,J131023.76-010037.89,197.6,-1.01,0.019,-3.0,0.0,0.0,0.0,999999
272,J131916.58-005501.35,199.82,-0.917,0.082,-5.0,0.0,0.0,0.0,999999
275,J132721.98-010031.18,201.842,-1.008,0.074,-2.0,0.0,0.0,0.0,999999
277,J133538.77-005512.14,203.912,-0.92,0.072,2.0,0.0,0.0,0.0,999999
278,J140013.27-005745.85,210.056,-0.962,0.025,-2.0,0.0,0.0,0.0,999999
279,J140311.79-005829.35,210.8,-0.974,0.025,1.0,0.0,0.0,0.0,999999
280,J140711.11-005243.10,211.797,-0.878,0.054,-5.0,0.0,0.0,0.0,999999
281,J140712.56-010046.79,211.803,-1.012,0.051,5.0,72.0,0.0,0.0,999999
282,J140738.87-005719.14,211.912,-0.955,0.054,-5.0,0.0,0.0,0.0,999999
284,J141305.35-005046.45,213.273,-0.846,0.026,-5.0,0.0,0.0,0.0,999999
286,J142731.51-005520.74,216.882,-0.922,0.031,-2.0,0.0,0.0,0.0,999999
287,J144634.43-005058.45,221.644,-0.849,0.042,-2.0,0.0,0.0,0.0,999999
288,J144719.66-005727.00,221.832,-0.957,0.035,5.0,0.0,0.0,0.0,999999
289,J144909.36-005410.22,222.289,-0.902,0.028,7.0,0.0,0.0,0.0,999999
290,J145042.56-005232.88,222.678,-0.875,0.027,1.0,0.0,0.0,0.0,999999
291,J084417.14-002529.64,131.072,-0.424,0.053,-5.0,0.0,0.0,0.0,999999
292,J085618.72-002629.39,134.079,-0.441,0.013,-2.0,0.0,0.0,0.0,999999
293,J090040.17-002912.32,135.168,-0.486,0.041,2.0,68.0,0.0,0.0,999999
294,J091734.93-003457.57,139.396,-0.582,0.017,-3.0,0.0,0.0,0.0,999999
295,J091728.99-003714.10,139.371,-0.62,0.017,5.0,0.0,0.0,0.0,.S..4..
296,J092209.74-003222.43,140.541,-0.539,0.057,4.0,0.0,0.0,0.0,999999
297,J092217.33-003248.95,140.573,-0.546,0.057,-3.0,0.0,0.0,0.0,999999
298,J093626.31-003416.87,144.11,-0.571,0.013,6.0,0.0,0.0,0.0,.IXS9*.
299,J093949.84-003341.51,144.958,-0.561,0.031,6.0,0.0,0.0,0.0,999999
300,J101057.99-003010.15,152.742,-0.502,0.047,-5.0,0.0,0.0,0.0,999999
301,J102654.58-003229.39,156.728,-0.541,0.035,-2.0,0.0,0.0,0.0,999999
304,J103605.61-003107.83,159.024,-0.518,0.036,-5.0,0.0,0.0,0.0,999999
305,J104345.17-002523.69,160.939,-0.423,0.04,1.0,0.0,0.0,0.0,999999
307,J105206.78-003338.88,163.029,-0.56,0.019,2.0,0.0,0.0,0.0,.S..0*.
310,J115956.25-003253.55,179.985,-0.548,0.022,5.0,0.0,0.0,0.0,.SA.4*.
311,J120844.22-003227.05,182.185,-0.54,0.063,-2.0,0.0,0.0,0.0,999999
312,J121017.86-003104.42,182.575,-0.517,0.035,1.0,0.0,0.0,0.0,.SA.0?.
313,J122337.48-002821.31,185.907,-0.472,0.026,6.0,4.0,0.0,0.0,.LB.0P?
314,J124306.50-002616.51,190.778,-0.437,0.048,0.0,0.0,0.0,0.0,999999
315,J124428.86-002710.50,191.121,-0.452,0.024,1.0,0.0,0.0,0.0,999999
316,J125538.15-003526.38,193.909,-0.59,0.048,-2.0,0.0,0.0,0.0,999999
317,J125724.86-003720.95,194.354,-0.622,0.023,4.0,0.0,0.0,0.0,999999
320,J133031.99-003613.57,202.634,-0.603,0.055,99.0,0.0,0.0,0.0,999999
322,J140452.62-003640.57,211.22,-0.611,0.025,5.0,0.0,0.0,0.0,.SXS4P*
324,J142628.23-003412.94,216.618,-0.57,0.074,1.0,0.0,0.0,0.0,999999
325,J143650.49-003719.64,219.211,-0.622,0.039,0.0,0.0,0.0,0.0,999999
326,J145055.50-002932.56,222.732,-0.492,0.043,-5.0,0.0,0.0,0.0,999999
327,J145103.91-002743.98,222.767,-0.462,0.044,-2.0,0.0,0.0,0.0,999999
329,J152724.78-002638.63,231.854,-0.444,0.054,0.0,0.0,0.0,0.0,999999
331,J153822.32-002743.62,234.594,-0.462,0.04,1.0,0.0,0.0,0.0,999999
332,J084227.27-000842.60,130.614,-0.145,0.052,5.0,0.0,0.0,0.0,999999
335,J090655.44-000152.72,136.732,-0.031,0.019,5.0,0.0,0.0,0.0,999999
336,J094511.96-000711.98,146.3,-0.12,0.031,1.0,0.0,0.0,0.0,999999
337,J094552.53-000534.19,146.469,-0.092,0.063,-5.0,0.0,0.0,0.0,999999
